2019-08-03 00:48:39,167 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [997c9022-36cb-48bf-adf6-7bec377f77ba], notebook [环境安装]
2019-08-03 00:48:39,479 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [f98f2a76-2bdf-4865-b649-b10466f37607], notebook [Install]
2019-08-03 00:48:39,976 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [bb271cb1-eafb-400f-a219-08142102ed92], notebook [其他]
2019-08-03 00:48:40,253 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [9e6f04e6-9da5-46da-9a44-54e475a90d9c], notebook [Command]
2019-08-03 00:48:44,983 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:308] - INFO: 添加笔记: [部署 Centos7 +python]
2019-08-03 00:51:15,903 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:376] - INFO: Exception: [553 Could not create file.]
2019-08-03 00:51:55,838 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:81] - INFO: 开始更新笔记: 20190803（周六）
2019-08-03 00:51:57,976 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:257] - INFO: Found 59 notebooks
2019-08-03 00:51:57,976 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [52d3ba71-70fd-4da5-9cfc-0eaefe64e5fe], notebook [工作]
2019-08-03 00:51:58,338 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [231f0999-9a87-4ff4-9d7c-7fa5f69c8b02], notebook [正则表达式]
2019-08-03 00:51:58,684 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [14c558c5-ff85-4cf7-985d-bcefc3357922], notebook [String]
2019-08-03 00:51:59,009 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [288113f3-13c6-4895-ba9a-fbb19a2d3609], notebook [Path]
2019-08-03 00:51:59,312 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [d450b58b-bd33-436f-a2a2-2474fa727957], notebook [Directory]
2019-08-03 00:51:59,648 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [34678d6c-f68a-4a82-89e3-64b4e9ad0929], notebook [网站]
2019-08-03 00:51:59,990 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [63eaa359-1678-4754-b0ab-b9e751269dab], notebook [HTML]
